19:20:29.841506 config: drop-rate=0.00, max-delay=0s, seed=2387230234324
19:20:29.843504 router is listening at :3000
19:20:50.008833 [queue=0] packet #0, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=0 is delivered
19:20:50.292020 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:41830, sz=0 is delivered
19:27:36.394429 [queue=0] packet #0, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=0 is delivered
19:27:36.403351 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:41830, sz=0 is delivered
19:27:36.403680 [queue=0] packet #0, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=0 is delivered
19:28:56.710803 [queue=0] packet #0, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=0 is delivered
19:28:56.720014 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:41830, sz=0 is delivered
19:28:56.720736 [queue=0] packet #0, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=0 is delivered
19:51:13.101894 [queue=0] packet #0, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=0 is delivered
19:51:13.109105 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:41830, sz=0 is delivered
19:51:13.109999 [queue=0] packet #0, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=0 is delivered
19:51:13.112260 [queue=0] packet #0, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=99 is delivered
19:51:13.112989 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:41830, sz=0 is delivered
19:51:13.112989 [queue=0] packet #1, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=0 is delivered
19:51:13.114982 [queue=0] packet #2, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=0 is delivered
19:51:13.115980 [queue=0] packet #3, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=0 is delivered
19:51:13.117974 [queue=0] packet #4, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=0 is delivered
19:51:13.118971 [queue=0] packet #5, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=0 is delivered
19:51:13.119968 [queue=0] packet #6, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=0 is delivered
19:51:13.120966 [queue=0] packet #7, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=0 is delivered
19:51:13.121963 [queue=0] packet #8, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=0 is delivered
19:51:13.122960 [queue=0] packet #9, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=0 is delivered
11:03:17.122871 config: drop-rate=0.00, max-delay=0s, seed=2387230234324
11:03:17.125862 router is listening at :3000
13:01:41.776457 config: drop-rate=0.00, max-delay=0s, seed=2387230234324
13:01:41.778397 router is listening at :3000
13:10:32.412121 config: drop-rate=0.00, max-delay=0s, seed=2387230234324
13:10:32.414134 router is listening at :3000
13:11:24.436755 [queue=0] packet #0, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=0 is delivered
13:11:24.672208 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:41830, sz=0 is delivered
13:11:24.673222 [queue=0] packet #0, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=0 is delivered
13:14:07.697004 [queue=0] packet #0, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=0 is delivered
13:14:07.698001 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:41830, sz=0 is delivered
13:14:07.699004 [queue=0] packet #0, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=0 is delivered
13:15:32.532498 [queue=0] packet #0, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=0 is delivered
13:15:32.533159 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:41830, sz=0 is delivered
13:15:32.533159 [queue=0] packet #0, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=0 is delivered
13:16:30.035126 [queue=0] packet #0, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=0 is delivered
13:16:30.036740 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:41830, sz=0 is delivered
13:16:30.037789 [queue=0] packet #0, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=0 is delivered
13:16:30.045708 [queue=0] packet #0, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=0 is delivered
13:16:30.047703 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:41830, sz=0 is delivered
13:16:30.049697 [queue=0] packet #0, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=0 is delivered
13:16:30.056678 [queue=0] packet #0, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=0 is delivered
13:16:30.061664 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:41830, sz=0 is delivered
13:16:30.063660 [queue=0] packet #0, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=0 is delivered
13:16:38.868547 [queue=0] packet #0, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=0 is delivered
13:16:38.869545 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:41830, sz=0 is delivered
13:16:38.869545 [queue=0] packet #0, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=0 is delivered
13:17:42.329588 [queue=0] packet #0, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=0 is delivered
13:17:42.330677 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:41830, sz=0 is delivered
13:17:42.331539 [queue=0] packet #0, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=0 is delivered
13:18:42.113413 [queue=0] packet #0, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=0 is delivered
13:18:42.114410 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:41830, sz=0 is delivered
13:18:42.114410 [queue=0] packet #0, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=0 is delivered
13:18:42.116406 [queue=0] packet #0, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=99 is delivered
13:18:42.118400 [queue=0] packet #1, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=0 is delivered
13:18:42.119397 [queue=0] packet #2, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=0 is delivered
13:18:42.120394 [queue=0] packet #3, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=0 is delivered
13:18:42.122389 [queue=0] packet #4, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=0 is delivered
13:18:42.123386 [queue=0] packet #5, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=0 is delivered
13:18:42.124383 [queue=0] packet #6, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=0 is delivered
13:18:42.126379 [queue=0] packet #7, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=0 is delivered
13:18:42.127375 [queue=0] packet #8, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=0 is delivered
13:18:42.128372 [queue=0] packet #9, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=0 is delivered
13:21:16.043200 [queue=0] packet #0, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=0 is delivered
13:21:16.050886 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:41830, sz=0 is delivered
13:21:16.051884 [queue=0] packet #0, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=0 is delivered
13:21:16.053880 [queue=0] packet #0, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=99 is delivered
13:21:16.054876 [queue=0] packet #1, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=0 is delivered
13:21:16.056871 [queue=0] packet #2, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=0 is delivered
13:21:16.057870 [queue=0] packet #3, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=0 is delivered
13:21:16.058866 [queue=0] packet #4, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=0 is delivered
13:21:16.059865 [queue=0] packet #5, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=0 is delivered
13:21:16.060862 [queue=0] packet #6, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=0 is delivered
13:21:16.061858 [queue=0] packet #7, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=0 is delivered
13:21:16.062853 [queue=0] packet #8, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=0 is delivered
13:21:16.064848 [queue=0] packet #9, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=0 is delivered
13:22:32.767458 [queue=0] packet #0, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=0 is delivered
13:22:32.775435 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:41830, sz=0 is delivered
13:22:32.776188 [queue=0] packet #0, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=0 is delivered
13:22:32.778221 [queue=0] packet #0, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=99 is delivered
13:22:32.779182 [queue=0] packet #1, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=0 is delivered
13:22:32.780179 [queue=0] packet #2, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=0 is delivered
13:22:32.781178 [queue=0] packet #3, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=0 is delivered
13:22:32.782172 [queue=0] packet #4, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=0 is delivered
13:22:32.784170 [queue=0] packet #5, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=0 is delivered
13:22:32.785189 [queue=0] packet #6, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=0 is delivered
13:22:32.786163 [queue=0] packet #7, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=0 is delivered
13:22:32.787163 [queue=0] packet #8, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=0 is delivered
13:22:32.788158 [queue=0] packet #9, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=0 is delivered
13:30:45.837988 [queue=0] packet #0, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=0 is delivered
13:30:45.847366 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:41830, sz=0 is delivered
13:30:45.847366 [queue=0] packet #0, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=0 is delivered
13:30:45.849941 [queue=0] packet #0, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=99 is delivered
13:32:00.180461 config: drop-rate=0.00, max-delay=0s, seed=2387230234324
13:32:00.182371 router is listening at :3000
13:32:49.209529 config: drop-rate=0.00, max-delay=0s, seed=2387230234324
13:32:49.211522 router is listening at :3000
13:33:08.964069 [queue=0] packet #0, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=0 is delivered
13:33:09.169805 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:41830, sz=0 is delivered
13:33:09.170677 [queue=0] packet #0, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=0 is delivered
13:33:09.172673 [queue=0] packet #0, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=99 is delivered
13:35:06.358680 [queue=0] packet #0, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=0 is delivered
13:35:06.366407 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:41830, sz=0 is delivered
13:35:06.366407 [queue=0] packet #0, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=0 is delivered
13:35:06.369399 [queue=0] packet #0, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=99 is delivered
13:37:22.496118 [queue=0] packet #0, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=0 is delivered
13:37:22.501942 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:41830, sz=0 is delivered
13:37:22.502970 [queue=0] packet #0, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=0 is delivered
13:37:22.503939 [queue=0] packet #0, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=99 is delivered
13:38:28.444240 [queue=0] packet #0, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=0 is delivered
13:38:28.453688 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:41830, sz=0 is delivered
13:38:28.454048 [queue=0] packet #0, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=0 is delivered
13:38:28.456083 [queue=0] packet #0, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=99 is delivered
13:40:59.015334 [queue=0] packet #0, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=0 is delivered
13:40:59.023891 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:41830, sz=0 is delivered
13:40:59.024854 [queue=0] packet #0, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=0 is delivered
13:40:59.026844 [queue=0] packet #0, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=99 is delivered
13:42:40.488888 [queue=0] packet #0, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=0 is delivered
13:42:40.497891 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:41830, sz=0 is delivered
13:42:40.497934 [queue=0] packet #0, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=0 is delivered
13:42:40.500858 [queue=0] packet #0, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=99 is delivered
13:43:42.547367 [queue=0] packet #0, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=0 is delivered
13:43:42.556268 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:41830, sz=0 is delivered
13:43:42.556268 [queue=0] packet #0, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=0 is delivered
13:43:42.558185 [queue=0] packet #0, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=99 is delivered
13:45:43.960648 [queue=0] packet #0, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=0 is delivered
13:45:43.969019 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:41830, sz=0 is delivered
13:45:43.969019 [queue=0] packet #0, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=0 is delivered
13:45:43.971238 [queue=0] packet #0, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=99 is delivered
13:50:46.248475 [queue=0] packet #0, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=0 is delivered
13:50:46.258402 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:41830, sz=0 is delivered
13:50:46.258546 [queue=0] packet #0, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=0 is delivered
13:50:46.261442 [queue=0] packet #0, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=99 is delivered
13:52:29.240933 [queue=0] packet #0, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=0 is delivered
13:52:29.248563 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:41830, sz=0 is delivered
13:52:29.249188 [queue=0] packet #0, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=0 is delivered
13:52:29.250553 [queue=0] packet #0, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=4 is delivered
13:52:29.251518 [queue=0] packet #1, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=4 is delivered
13:52:29.253513 [queue=0] packet #2, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=4 is delivered
13:52:29.254511 [queue=0] packet #3, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=4 is delivered
13:52:29.255510 [queue=0] packet #4, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=4 is delivered
13:52:29.256508 [queue=0] packet #5, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=4 is delivered
13:52:29.257503 [queue=0] packet #6, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=4 is delivered
13:52:29.258500 [queue=0] packet #7, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=4 is delivered
